"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","ANO"
"587","Jefferson Gabriel Nascimento Brito","fessin","Fessin","https://s.glbimg.com/es/sde/f/2019/03/26/d280c476822d11a21bba9408da199dba_FORMATO.png",97994,35,264,"mei","Nulo",0,2,0,0,"Corinthians",2019
"588","Wesley Soares Xavier","wesley","Wesley","https://s.glbimg.com/es/sde/f/2019/03/26/c2306740c31403d20520165b9297b553_FORMATO.png",99462,35,314,"mei","Nulo",0.5,1.36,0.11,-0.73,"Avaí",2019
"589","Ricardo Queiroz de Alencastro Graça","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2019/05/22/83cc3161d01d982a7f019f88e1a24064_FORMATO.png",99881,35,267,"zag","Nulo",0,7.13,0,2.95,"Vasco",2019
"590","Givaldo Santos Vasconcelos","jacozinho","Jacozinho","https://s.glbimg.com/es/sde/f/2019/11/29/094fa3b16cad75de52320270c07955b9_FORMATO.png",106683,35,341,"tec","Provável",0,7.28,0,0,"CSA",2019
"591","Wenderson da Silva Costa Ferreira","wenderson","Wenderson","https://s.glbimg.com/es/sde/f/2019/03/22/bf58078f6d1432c858880bcb9a3adcdc_FORMATO.png",99474,35,263,"mei","Nulo",0,2.9,0,2.05,"Botafogo",2019
"592","Dalberto Luan Belo","dalberto","Dalberto","https://s.glbimg.com/es/sde/f/2019/09/26/29cf2941e89066b6862d73494bf8de5f_FORMATO.png",97995,35,315,"ata","Nulo",0,1.81,0,0.51,"Chapecoense",2019
"593","Jhonata Varela da Silva","varela","Varela","https://s.glbimg.com/es/sde/f/2017/02/20/ecf24f5e5541ccbee57dc2c72a5a06ba_FORMATO.jpeg",97993,35,284,"mei","Nulo",0,1,0,0,"Grêmio",2019
"594","Abner Vinícius da Silva Santos","abner-vinicius","Abner Vinícius","https://s.glbimg.com/es/sde/f/2019/07/19/34bb8790920b50acac56204efb61d6b5_FORMATO.png",104513,35,293,"lat","Nulo",0,4.6,0,2.2,"Athlético-PR",2019
"595","Sandry Roberto Santos Goes","sandry","Sandry","https://s.glbimg.com/es/sde/f/2019/10/04/5665b8caac8b49b620f545b1d5f55aa1_FORMATO.png",104580,35,277,"mei","Nulo",0,1,0,0,"Santos",2019
"596","Tailson Pinto Gonçalves","tailson","Tailson","https://s.glbimg.com/es/sde/f/2019/10/04/51016f3c2ffa52aa0fd9c55311f7c8e6_FORMATO.png",104578,35,277,"ata","Nulo",0,1.35,0,1.5,"Santos",2019
"597","Fernando Peixoto Costanza","fernando","Fernando","https://s.glbimg.com/es/sde/f/2019/03/28/0e1597e7f7c233c1663c9739a327843b_FORMATO.png",99550,35,263,"lat","Provável",9.5,5.72,1.33,3.04,"Botafogo",2019
"598","Darlan Pereira Mendes","darlan","Darlan","https://s.glbimg.com/es/sde/f/2019/06/16/7fd2d1907ddaceb40f1dacde40a11fa3_FORMATO.png",104593,35,284,"mei","Provável",0,1.66,-0.33,1.52,"Grêmio",2019
"599","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,35,293,"mei","Dúvida",1.7,1.76,0.07,1.34,"Athlético-PR",2019
"600","Johnatan Lucas da Silva Vital","vital","Vital","https://s.glbimg.com/es/sde/f/2019/03/23/fb790a1d32b257ad9a64d7752826981f_FORMATO.png",102452,35,341,"zag","Nulo",0,1,0,0,"CSA",2019
"601","Caíque de Jesus da Silva","caique","Caíque","https://s.glbimg.com/es/sde/f/2019/03/29/3a73b6353572e78678dbadc5d6e657c2_FORMATO.png",104591,35,265,"ata","Nulo",0,2,0,0,"Bahia",2019
"602","Kaio Nunes Ferreira","kaio","Kaio","https://s.glbimg.com/es/sde/f/2019/08/17/1e8c1cee38c33b285f33645bdf013d49_FORMATO.png",102563,35,290,"mei","Nulo",1,1.25,0.1,0.68,"Goiás",2019
"603","André Luiz Ribeiro da Silva","andre","André",NA,104080,35,263,"gol","Nulo",0,1,0,0,"Botafogo",2019
"604","Hélio Júnior Rossi Francino","helio-junior","Hélio Júnior",NA,104622,35,282,"lat","Nulo",0,1,0,0,"Atlético-MG",2019
"605","Weverton Guilherme da Silva Souza","weverton","Weverton","https://s.glbimg.com/es/sde/f/2019/05/30/48a83901711e5cb65605aad4d0a20615_FORMATO.png",104625,35,283,"lat","Nulo",0,2.61,0,3.25,"Cruzeiro",2019
"606","Miguel Ferreira Damasceno","miguel-figueira","Miguel Figueira","https://s.glbimg.com/es/sde/f/2019/03/26/7e19f3b4700aea39ef02fe83399dfc6c_FORMATO.png",102565,35,290,"mei","Nulo",0,0.86,0,0.5,"Goiás",2019
"607","Francisco Edson Moreira da Silva","edinho","Edinho","https://s.glbimg.com/es/sde/f/2019/03/22/b196faf58ff8f5c11884a98aae52bb13_FORMATO.png",80193,35,356,"mei","Provável",8.5,8.53,1.37,2.34,"Fortaleza",2019
"608","Douglas do Espírito Santo Torres","douglas-borel","Douglas Borel","https://s.glbimg.com/es/sde/f/2019/03/29/191f49008e0f92039b6e04b7283da22b_FORMATO.png",104634,35,265,"lat","Nulo",0,1,0,0,"Bahia",2019
"609","Leonardo Barbosa Griggio","leo-griggio","Léo Griggio","",98106,35,282,"zag","Nulo",0,1,0,0,"Atlético-MG",2019
"610","Alexandre Rosa Paschoalato","alexandre-cajuru","Alexandre Cajuru","https://s.glbimg.com/es/sde/f/2019/03/23/edb53fb0c37fc84723a26e49ce65dfa0_FORMATO.png",80276,35,341,"gol","Contundido",0,3,0,0,"CSA",2019
"611","Warley Leandro da Silva","warley","Warley","https://s.glbimg.com/es/sde/f/2019/09/06/814406b15c0df677f37a5ebd9ed7f3d4_FORMATO.png",104646,35,341,"lat","Dúvida",5,2.5,1.05,0.9,"CSA",2019
"612","Lucas Barros da Cunha","lucas-barros","Lucas Barros","https://s.glbimg.com/es/sde/f/2019/03/28/be4f63d854fc719f9e9072cf24e0d7f3_FORMATO.png",104650,35,263,"lat","Nulo",0,1.73,0,1.08,"Botafogo",2019
